id,time,total_blinks,ear
132,2021-12-15 22:45:00.125113,67,0.28
133,2021-12-15 22:45:01.093157,67,0.22
134,2021-12-15 22:45:02.120112,68,0.29
135,2021-12-15 22:45:03.107423,70,0.25
136,2021-12-15 22:45:04.072243,70,0.24
137,2021-12-15 22:45:05.080289,70,0.28
138,2021-12-15 22:45:06.089859,70,0.24
139,2021-12-15 22:45:07.063920,70,0.14
140,2021-12-15 22:45:08.025226,70,0.13
141,2021-12-15 22:45:09.058876,70,0.18
142,2021-12-15 22:45:10.100431,70,0.19
143,2021-12-15 22:45:11.206787,70,0.27
144,2021-12-15 22:45:12.385626,70,0.24
145,2021-12-15 22:45:13.545249,70,0.17
146,2021-12-15 22:45:14.532442,70,0.2
147,2021-12-15 22:45:15.485324,70,0.18
148,2021-12-15 22:45:16.582469,70,0.28
149,2021-12-15 22:45:17.591374,72,0.3
150,2021-12-15 22:45:18.572414,76,0.29
151,2021-12-15 22:45:19.612675,77,0.28
152,2021-12-15 22:45:20.744801,77,0.27
153,2021-12-15 22:45:21.729305,77,0.24
154,2021-12-15 22:45:22.676226,78,0.28
155,2021-12-15 22:45:23.620064,79,0.27
156,2021-12-15 22:45:24.564375,81,0.34
157,2021-12-15 22:45:25.711472,81,0.29
158,2021-12-15 22:45:26.925425,82,0.3
159,2021-12-15 22:45:27.894447,83,0.29
160,2021-12-15 22:45:28.832445,84,0.29
161,2021-12-15 22:45:29.781414,84,0.26
162,2021-12-15 22:45:30.737410,85,0.23
163,2021-12-15 22:45:31.683520,86,0.29
164,2021-12-15 22:45:32.631971,86,0.27
165,2021-12-15 22:45:33.650601,86,0.24
166,2021-12-15 22:45:34.729121,86,0.27
167,2021-12-15 22:45:35.862849,86,0.24
168,2021-12-15 22:45:36.952292,86,0.17
169,2021-12-15 22:45:37.926067,88,0.3
170,2021-12-15 22:45:38.961696,89,0.31
171,2021-12-15 22:45:40.116758,89,0.3
172,2021-12-15 22:45:41.077610,90,0.32
173,2021-12-15 22:45:42.005596,90,0.32
174,2021-12-15 22:45:42.978590,91,0.31
175,2021-12-15 22:45:44.316371,92,0.31
176,2021-12-15 22:45:45.271421,94,0.29
177,2021-12-15 22:45:46.228953,95,0.31
178,2021-12-15 22:45:47.214407,96,0.3
179,2021-12-15 22:45:48.162542,97,0.29
180,2021-12-15 22:45:49.128242,98,0.33
181,2021-12-15 22:45:50.061351,99,0.32
182,2021-12-15 22:45:51.020698,101,0.32
183,2021-12-15 22:45:52.806567,101,0.29
184,2021-12-15 22:45:53.757910,102,0.31
185,2021-12-15 22:45:54.694569,102,0.34
186,2021-12-15 22:45:55.618617,103,0.31
187,2021-12-15 22:45:56.560220,104,0.31
188,2021-12-15 22:45:57.484540,104,0.3
189,2021-12-15 22:45:58.429591,106,0.31
190,2021-12-15 22:45:59.634339,107,0.27
191,2021-12-15 22:46:00.650758,107,0.3
192,2021-12-15 22:46:01.563645,109,0.27
193,2021-12-15 22:46:02.645699,110,0.34
194,2021-12-15 22:46:03.641949,110,0.31
195,2021-12-15 22:46:05.262543,111,0.3
196,2021-12-15 22:46:06.282267,112,0.31
197,2021-12-15 22:46:07.243729,115,0.26
198,2021-12-15 22:46:08.229240,115,0.19
199,2021-12-15 22:46:09.391477,117,0.31
200,2021-12-15 22:46:10.412641,117,0.31
201,2021-12-15 22:46:11.449511,117,0.31
202,2021-12-15 22:46:12.455103,117,0.28
203,2021-12-15 22:46:13.452399,117,0.29
204,2021-12-15 22:46:14.469933,118,0.3
205,2021-12-15 22:46:15.754124,118,0.3
206,2021-12-15 22:46:17.009717,119,0.32
207,2021-12-15 22:46:18.124361,119,0.31
208,2021-12-15 22:46:19.568156,119,0.31
209,2021-12-15 22:46:20.522835,119,0.32
210,2021-12-15 22:46:21.626165,122,0.28
211,2021-12-15 22:46:22.645398,123,0.3
212,2021-12-15 22:46:23.659501,125,0.28
213,2021-12-15 22:46:24.758134,126,0.31
214,2021-12-15 22:46:25.726327,126,0.31
215,2021-12-15 22:46:26.693857,126,0.13
