,time,x,y
107,2021-12-20 00:54:58.831383,0.0,0.0
108,2021-12-20 00:54:58.973743,0.0,1.0
109,2021-12-20 00:54:59.145912,0.0,1.0
110,2021-12-20 00:54:59.296778,0.0,1.0
111,2021-12-20 00:54:59.451858,0.0,0.0
112,2021-12-20 00:54:59.618831,0.0,0.0
113,2021-12-20 00:54:59.762093,0.0,0.0
114,2021-12-20 00:54:59.925973,0.0,0.0
115,2021-12-20 00:55:00.100869,0.0,0.0
116,2021-12-20 00:55:00.245435,0.0,0.0
117,2021-12-20 00:55:00.410964,0.0,0.0
118,2021-12-20 00:55:00.555710,0.0,0.0
119,2021-12-20 00:55:00.720818,0.0,0.0
120,2021-12-20 00:55:00.865040,0.0,0.0
121,2021-12-20 00:55:01.032715,0.0,0.0
122,2021-12-20 00:55:01.205043,0.0,0.0
123,2021-12-20 00:55:01.376647,0.0,0.0
124,2021-12-20 00:55:01.520939,0.0,0.0
125,2021-12-20 00:55:01.687895,0.0,0.0
126,2021-12-20 00:55:01.854941,0.0,0.0
127,2021-12-20 00:55:02.002890,0.0,0.0
128,2021-12-20 00:55:02.168968,0.0,0.0
129,2021-12-20 00:55:02.313094,0.0,0.0
130,2021-12-20 00:55:02.478475,0.0,0.0
131,2021-12-20 00:55:02.649567,0.0,0.0
132,2021-12-20 00:55:02.822051,0.0,0.0
133,2021-12-20 00:55:03.007335,0.0,0.0
134,2021-12-20 00:55:03.182741,0.0,0.0
135,2021-12-20 00:55:03.349516,0.0,0.0
136,2021-12-20 00:55:03.516692,0.0,0.0
137,2021-12-20 00:55:03.682412,0.0,0.0
138,2021-12-20 00:55:03.823657,0.0,0.0
139,2021-12-20 00:55:03.995317,0.0,0.0
140,2021-12-20 00:55:04.162303,0.0,0.0
141,2021-12-20 00:55:04.306766,0.0,0.0
142,2021-12-20 00:55:04.478068,0.0,0.0
143,2021-12-20 00:55:04.650629,0.0,0.0
144,2021-12-20 00:55:04.821632,0.0,0.0
145,2021-12-20 00:55:04.992423,0.0,0.0
146,2021-12-20 00:55:05.132281,0.0,0.0
147,2021-12-20 00:55:05.284880,0.0,0.0
148,2021-12-20 00:55:05.439767,0.0,0.0
149,2021-12-20 00:55:05.611047,0.0,0.0
150,2021-12-20 00:55:05.789653,0.0,1.0
151,2021-12-20 00:55:05.960991,0.0,1.0
152,2021-12-20 00:55:06.103493,0.0,1.0
153,2021-12-20 00:55:06.281171,0.0,1.0
154,2021-12-20 00:55:06.493872,0.0,1.0
